"id","pop_density"
"Hilton Head Island-Bluffton, SC",180.453882317325
"Hinesville, GA",88.3381058490415
"Homosassa Springs, FL",257.181975186839
"Hot Springs, AR",146.669396090074
"Houma-Thibodaux, LA",90.5387370107996
"Houston-The Woodlands-Sugar Land, TX",854.676566703968
"Huntington-Ashland, WV-KY-OH",142.354914229681
"Huntsville, AL",346.535281444168
"Idaho Falls, ID",29.1619819172944
"Indianapolis-Carmel-Anderson, IN",481.717127605895
"Iowa City, IA",146.475323532527
"Ithaca, NY",215.278413316697
"Jackson, MI",225.835956632712
"Jackson, MS",110.041046009315
"Jackson, TN",104.397916207144
"Jacksonville, FL",487.086280236855
"Jacksonville, NC",259.736951952163
"Janesville-Beloit, WI",227.466717118087
"Jefferson City, MO",67.2836626863397
"Johnson City, TN",238.517263797711
"Johnstown, PA",189.132918683684
"Jonesboro, AR",91.3305214310002
"Joplin, MO",142.143274157166
"Kahului-Wailuku-Lahaina, HI",144.134886959139
"Kalamazoo-Portage, MI",471.663762126429
"Kankakee, IL",162.398772057956
"Kansas City, MO-KS",297.387467317002
"Kennewick-Richland, WA",101.850201954596
"Killeen-Temple, TX",163.434976883675
"Kingsport-Bristol, TN-VA",152.809259990847
"Kingston, NY",157.949920783938
"Knoxville, TN",269.862707507909
"Kokomo, IN",281.64884455537
"La Crosse-Onalaska, WI-MN",136.097113530657
"Lafayette-West Lafayette, IN",141.880623657153
"Lafayette, LA",143.527375024189
"Lake Charles, LA",89.5729989796994
"Lake Havasu City-Kingman, AZ",15.9153329569858
"Lakeland-Winter Haven, FL",403.205221566916
"Lancaster, PA",578.144090597074
"Lansing-East Lansing, MI",246.962338104671
"Laredo, TX",82.3007113753818
"Las Cruces, NM",57.2962610402414
"Las Vegas-Henderson-Paradise, NV",287.229565746771
"Lawrence, KS",268.250268370697
"Lawton, OK",74.2742608709921
"Lebanon, PA",391.896462739766
"Lewiston-Auburn, ME",231.384757470775
"Lewiston, ID-WA",42.4347691982888
"Lexington-Fayette, KY",351.759252533657
"Lima, OH",254.285828038645
"Lincoln, NE",238.734191316683
"Little Rock-North Little Rock-Conway, AR",181.747041390629
"Logan, UT-ID",77.7814338101237
"Longview, TX",106.943408948306
"Longview, WA",96.9116641194751
"Los Angeles-Long Beach-Anaheim, CA",2723.87953163011
"Louisville/Jefferson County, KY-IN",390.85336554941
"Lubbock, TX",119.902208778175
"Lynchburg, VA",124.297525338328
"Macon-Bibb County, GA",133.43894428771
"Madera, CA",73.6229819201496
"Madison, WI",200.939955559309
"Manchester-Nashua, NH",475.769070218813
"Manhattan, KS",70.9959880466988
"Mankato, MN",85.195197513081
"Mansfield, OH",244.658236067697
"McAllen-Edinburg-Mission, TX",553.028963851412
"Medford, OR",79.3833026022786
"Memphis, TN-MS-AR",293.956245753248
"Merced, CA",143.42146143981
"Miami-Fort Lauderdale-Pompano Beach, FL",1217.00342640767
"Michigan City-La Porte, IN",183.676205967193
"Midland, MI",161.067874487703
"Midland, TX",100.590343729619
"Milwaukee-Waukesha, WI",1082.69785693918
"Missoula, MT",46.1240191784746
"Mobile, AL",185.977206588185
"Modesto, CA",368.083925394643
"Monroe, LA",87.7463694869259
"Monroe, MI",273.960054180827
"Montgomery, AL",137.535275711589
"Morgantown, WV",137.816791814293
"Morristown, TN",199.13422156879
"Mount Vernon-Anacortes, WA",74.6754237260272
"Muncie, IN",291.085889658559
"Muskegon, MI",344.436040605784
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",250.682609981758
"Napa, CA",184.085520178214
"Naples-Marco Island, FL",192.746083937857
"Nashville-Davidson--Murfreesboro--Franklin, TN",339.9846460596
"New Bern, NC",82.0656381047865
"New Haven-Milford, CT",1413.95822974273
"New Orleans-Metairie, LA",396.663067349497
"New York-Newark-Jersey City, NY-NJ-PA",2874.46805612896
"Niles, MI",270.17675623195
"North Port-Sarasota-Bradenton, FL",644.031941260722
"Norwich-New London, CT",398.720591414432
"Ocala, FL",230.153158486496
"Ocean City, NJ",365.984465904631
"Odessa, TX",185.142318787026
"Ogden-Clearfield, UT",94.5857168140237
"Oklahoma City, OK",255.629109990094
"Olympia-Lacey-Tumwater, WA",402.131607245688
"Omaha-Council Bluffs, NE-IA",218.4659696335
"Orlando-Kissimmee-Sanford, FL",747.424491822487
"Oshkosh-Neenah, WI",395.464053135968
"Owensboro, KY",132.91918191499
"Oxnard-Thousand Oaks-Ventura, CA",459.16825553132
"Palm Bay-Melbourne-Titusville, FL",593.056321447232
"Panama City, FL",230.301726951868
"Parkersburg-Vienna, WV",149.142135307211
"Pensacola-Ferry Pass-Brent, FL",301.092149041705
"Peoria, IL",120.161862620826
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1325.72591540896
"Phoenix-Mesa-Chandler, AZ",339.692420783608
"Pine Bluff, AR",43.2665944082732
"Pittsburgh, PA",438.693361986514
"Pittsfield, MA",134.801040196349
"Pocatello, ID",37.9479164937069
"Ponce, PR",775.720894989889
"Portland-South Portland, ME",258.770810758059
"Portland-Vancouver-Hillsboro, OR-WA",372.734039576235
"Poughkeepsie-Newburgh-Middletown, NY",422.371386276433
"Prescott Valley-Prescott, AZ",28.9420351028821
"Providence-Warwick, RI-MA",1023.67345869879
"Provo-Orem, UT",120.1412985559
"Pueblo, CO",70.5855372500633
"Punta Gorda, FL",277.357364688255
"Racine, WI",590.249834795147
"Raleigh-Cary, NC",656.696737396808
"Rapid City, SD",22.7454936839263
"Reading, PA",491.780510372856
"Redding, CA",47.6974435125435
"Reno, NV",72.2845792700983
"Richmond, VA",296.082524214223
"Riverside-San Bernardino-Ontario, CA",170.497182767468
"Roanoke, VA",167.715342840987
"Rochester, MN",89.587514938032
"Rochester, NY",327.516762624147
"Rockford, IL",423.361365364724
"Rocky Mount, NC",139.37591839186
"Rome, GA",193.200526737228
"Sacramento-Roseville-Folsom, CA",463.940253778069
"Saginaw, MI",237.964342360904
"Salem, OR",225.816753532712
"Salinas, CA",132.266288900902
"Salisbury, MD-DE",198.087002000121
"Salt Lake City, UT",160.423474505127
"San Angelo, TX",34.8948203572208
"San Antonio-New Braunfels, TX",348.817404900693
"San Diego-Chula Vista-Carlsbad, CA",792.91438376088
"San Francisco-Oakland-Berkeley, CA",1915.42253901806
"San Jose-Sunnyvale-Santa Clara, CA",742.856980278068
"San Luis Obispo-Paso Robles, CA",85.775180086714
"Santa Cruz-Watsonville, CA",613.828634854461
"Santa Fe, NM",78.7058887681498
"Santa Maria-Santa Barbara, CA",163.243464664355
"Santa Rosa-Petaluma, CA",313.746222388007
"Savannah, GA",291.484229860894
"Scranton--Wilkes-Barre, PA",317.222593566404
"Seattle-Tacoma-Bellevue, WA",678.014107349238
"Sebastian-Vero Beach, FL",318.075127069373
"Sebring-Avon Park, FL",104.37934249863
"Sheboygan, WI",225.481357991653
"Sherman-Denison, TX",146.019704657262
"Shreveport-Bossier City, LA",152.055170204709
"Sierra Vista-Douglas, AZ",20.2781151441031
"Sioux City, IA-NE-SD",69.7678320959646
"Sioux Falls, SD",104.151711428094
"South Bend-Mishawaka, IN-MI",341.364122865027
"Spartanburg, SC",395.898746844009
"Spokane-Spokane Valley, WA",134.044384826096
"Springfield, IL",174.917631023352
"Springfield, MA",378.305738612569
"Springfield, MO",156.400911095238
"Springfield, OH",337.844929314326
"State College, PA",146.465183198746
"Staunton, VA",122.878712486816
"Stockton, CA",547.38885703701
"Sumter, SC",110.426295366058
"Syracuse, NY",271.960323485864
"Tallahassee, FL",162.176113823212
"Terre Haute, IN",97.5789163686351
"Texarkana, TX-AR",72.8156937666161
"The Villages, FL",237.681296447159
"Toledo, OH",396.916691234113
"Topeka, KS",71.7580380176905
"Trenton-Princeton, NJ",1637.09438520023
"Tucson, AZ",113.974786759967
"Tulsa, OK",159.279397590217
"Tuscaloosa, AL",72.1533115352626
"Twin Falls, ID",44.1770856582159
"Tyler, TX",252.585777964037
"Urban Honolulu, HI",1622.72672863845
"Utica-Rome, NY",110.519899161531
"Valdosta, GA",91.6401538566654
"Vallejo, CA",544.701030329492
"Victoria, TX",57.5174403579093
"Vineland-Bridgeton, NJ",309.348725873672
"Virginia Beach-Norfolk-Newport News, VA-NC",501.043420275204
"Visalia, CA",96.6346674692882
"Waco, TX",151.957102935974
"Walla Walla, WA",47.8412949579221
"Warner Robins, GA",352.269114212597
"Washington-Arlington-Alexandria, DC-VA-MD-WV",856.533692054467
"Waterloo-Cedar Falls, IA",112.116187525496
"Watertown-Fort Drum, NY",86.571938376403
"Wausau-Weston, WI",67.3650767948738
"Weirton-Steubenville, WV-OH",200.151984556395
"Wenatchee, WA",25.4467835054033
"Wheeling, WV-OH",147.286291788298
"Wichita Falls, TX",57.7384494683276
"Wichita, KS",154.343609043894
"Williamsport, PA",92.2056200263281
"Wilmington, NC",279.755489735568
"Winchester, VA-WV",132.264593027183
"Winston-Salem, NC",336.550205527811
"Worcester, MA-CT",468.183423479749
"Yakima, WA",58.4171177835207
"Yauco, PR",447.848313984653
"York-Hanover, PA",496.543945879777
"Youngstown-Warren-Boardman, OH-PA",314.952726542999
"Yuba City, CA",142.270067261284
"Yuma, AZ",38.7728021423261
